;ANO_LETIVO;CD_DIRETORIA;NM_DIRETORIA;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3;CD_DIRETORIA_ANO
0;2023;10102;CENTRO;99.54;0.32;0.14;97.54;2.21;0.25;94.54;5.0;0.46;101022023
1;2023;20304;ITAPETININGA;99.74;0.26;0.0;98.96;0.98;0.06;97.2;2.5;0.3;203042023
2;2023;10703;ITAPEVI;0.0;0.0;0.0;95.12;4.6;0.28;93.47;6.25;0.28;107032023
3;2023;10503;ITAQUAQUECETUBA;99.16;0.84;0.0;96.53;2.99;0.48;92.69;6.17;1.14;105032023
4;2023;10603;SANTO ANDRE;99.54;0.46;0.0;97.21;2.71;0.08;92.64;6.29;1.07;106032023
5;2023;10208;LESTE 4;99.55;0.4;0.05;96.75;3.23;0.02;92.16;7.47;0.37;102082023
6;2023;10211;LESTE 3;99.12;0.88;0.0;94.27;5.68;0.05;88.15;11.45;0.4;102112023
7;2023;20504;FRANCA;99.77;0.23;0.0;98.3;1.57;0.13;95.24;3.86;0.9;205042023
8;2023;20404;CAMPINAS OESTE;98.98;0.83;0.19;96.96;2.46;0.58;92.55;5.49;1.96;204042023
9;2023;20710;SAO JOSE DO RIO PRETO;100.0;0.0;0.0;97.87;2.11;0.02;94.31;5.55;0.14;207102023
10;2023;20604;LINS;98.81;1.19;0.0;97.76;2.06;0.18;90.92;8.75;0.33;206042023
11;2023;20410;PIRACICABA;99.77;0.08;0.15;98.81;1.18;0.01;97.12;2.88;0.0;204102023
12;2023;20908;SANTO ANASTACIO;99.6;0.4;0.0;98.24;1.76;0.0;94.86;5.09;0.05;209082023
13;2023;20802;ARACATUBA;100.0;0.0;0.0;99.73;0.27;0.0;99.03;0.97;0.0;208022023
14;2023;21102;REGISTRO;100.0;0.0;0.0;98.52;1.4;0.08;96.93;2.92;0.15;211022023
15;2023;20510;SAO JOAQUIM DA BARRA;100.0;0.0;0.0;98.31;1.69;0.0;95.88;3.24;0.88;205102023
16;2023;10314;SUL 2;99.62;0.32;0.06;96.86;3.02;0.12;92.8;6.01;1.19;103142023
17;2023;20301;APIAI;99.87;0.13;0.0;99.69;0.31;0.0;98.51;1.49;0.0;203012023
18;2023;10606;SAO BERNARDO DO CAMPO;100.0;0.0;0.0;96.95;2.9;0.15;91.08;8.18;0.74;106062023
19;2023;10205;LESTE 5;99.87;0.12;0.01;96.24;3.57;0.19;88.9;10.28;0.82;102052023
20;2023;20407;JUNDIAI;0.0;0.0;0.0;98.9;1.05;0.05;97.09;2.72;0.19;204072023
21;2023;20501;ARARAQUARA;99.96;0.04;0.0;99.28;0.71;0.01;97.32;2.32;0.36;205012023
22;2023;10706;TABOAO DA SERRA;99.93;0.05;0.02;98.43;1.45;0.12;95.21;4.27;0.52;107062023
23;2023;20401;AMERICANA;99.8;0.2;0.0;98.1;1.85;0.05;93.16;6.08;0.76;204012023
24;2023;20507;RIBEIRAO PRETO;98.82;1.15;0.03;95.33;4.5;0.17;90.95;8.41;0.64;205072023
25;2023;10601;DIADEMA;99.94;0.05;0.01;98.42;1.53;0.05;97.0;2.84;0.16;106012023
26;2023;20419;CAPIVARI;0.0;0.0;0.0;98.6;1.26;0.14;96.96;2.67;0.37;204192023
27;2023;20204;PINDAMONHANGABA;0.0;0.0;0.0;99.42;0.54;0.04;97.92;1.98;0.1;202042023
28;2023;10317;SUL 1;99.67;0.29;0.04;96.24;3.54;0.22;91.48;8.04;0.48;103172023
29;2023;10701;CARAPICUIBA;99.34;0.58;0.08;96.74;2.87;0.39;93.21;5.42;1.37;107012023
30;2023;10403;GUARULHOS NORTE;99.78;0.22;0.0;97.3;2.59;0.11;92.0;7.33;0.67;104032023
31;2023;20502;BARRETOS;0.0;0.0;0.0;99.53;0.44;0.03;98.57;1.2;0.23;205022023
32;2023;20909;MIRANTE DO PARANAPANEMA;99.89;0.11;0.0;98.82;1.18;0.0;96.11;2.98;0.91;209092023
33;2023;20511;TAQUARITINGA;100.0;0.0;0.0;99.94;0.06;0.0;99.48;0.52;0.0;205112023
34;2023;20803;BIRIGUI;0.0;0.0;0.0;99.0;0.96;0.04;95.81;4.12;0.07;208032023
35;2023;20311;PIRAJU;0.0;0.0;0.0;99.16;0.71;0.13;97.88;1.44;0.68;203112023
36;2023;21001;ASSIS;100.0;0.0;0.0;97.91;2.05;0.04;95.47;4.35;0.18;210012023
37;2023;20411;PIRASSUNUNGA;99.81;0.19;0.0;97.4;2.52;0.08;91.22;8.18;0.6;204112023
38;2023;20206;TAUBATE;100.0;0.0;0.0;97.94;1.82;0.24;95.4;4.18;0.42;202062023
39;2023;10104;NORTE 2;99.63;0.36;0.01;96.66;3.31;0.03;91.83;8.05;0.12;101042023
40;2023;20306;ITU;99.67;0.33;0.0;97.9;1.82;0.28;95.81;3.41;0.78;203062023
41;2023;20512;SERTAOZINHO;100.0;0.0;0.0;99.26;0.7;0.04;98.36;1.62;0.02;205122023
42;2023;21004;OURINHOS;99.9;0.1;0.0;98.76;1.12;0.12;95.72;4.06;0.22;210042023
43;2023;20506;JABOTICABAL;0.0;0.0;0.0;98.47;1.46;0.07;95.57;4.31;0.12;205062023
44;2023;20904;PRESIDENTE PRUDENTE;100.0;0.0;0.0;97.1;2.84;0.06;93.1;6.54;0.36;209042023
45;2023;20804;PENAPOLIS;100.0;0.0;0.0;98.87;1.13;0.0;97.61;2.39;0.0;208042023
46;2023;20704;JOSE BONIFACIO;100.0;0.0;0.0;99.29;0.71;0.0;97.5;2.5;0.0;207042023
47;2023;10602;MAUA;99.69;0.29;0.02;96.79;3.02;0.19;92.61;6.71;0.68;106022023
48;2023;10101;NORTE 1;99.73;0.22;0.05;95.62;4.04;0.34;88.18;9.92;1.9;101012023
49;2023;20303;BOTUCATU;0.0;0.0;0.0;97.61;2.39;0.0;94.37;5.6;0.03;203032023
50;2023;10316;CENTRO SUL;99.46;0.53;0.01;96.69;3.07;0.24;93.2;6.14;0.66;103162023
51;2023;10702;ITAPECERICA DA SERRA;100.0;0.0;0.0;99.07;0.91;0.02;97.5;2.36;0.14;107022023
52;2023;10207;LESTE 1;99.73;0.24;0.03;97.02;2.78;0.2;89.96;9.03;1.01;102072023
53;2023;10502;SUZANO;99.64;0.34;0.02;98.13;1.79;0.08;95.17;4.7;0.13;105022023
54;2023;10402;GUARULHOS SUL;99.48;0.51;0.01;97.54;2.35;0.11;93.49;5.82;0.69;104022023
55;2023;10210;LESTE 2;99.59;0.33;0.08;97.38;2.56;0.06;92.65;7.07;0.28;102102023
56;2023;20103;SAO VICENTE;96.87;3.13;0.0;98.25;1.63;0.12;96.74;2.98;0.28;201032023
